輕裝步兵大師	Peltasta Master	펠타스타 마스터
我什麼都能做	I can do anything	뭐든 할 수 있다고 한다
速戰速決[武僧轉職]	Blitz [Monk Advancement]	속전속결[몽크 전직]
我會把證據帶回來	I'll bring the evidence	증거를 가져 오겠다고 한다
遺失免死牌的代價[寬恕者轉職]	Price for the Lost Indulgence [Pardoner Advancement]	잃어버린 면죄부의 대가[파드너 전직]
我願意幫忙找回款項	I'll get you the payment	대금을 찾아 주겠다고 한다
確認車輪中/MAKING/3/TRACK_BEFORE/None	Checking the wagon/MAKING/3/TRACK_BEFORE/None	수레 확인 중/MAKING/3/TRACK_BEFORE/None
指導者的選擇[神諭師轉職]	Advisor's Choice [Oracle Advancement]	조언자의 선택[오라클 전직]
淨化魔氣[聖水祭司轉職]	Evil Energy Purification [Priest Advancement]	마기 정화[프리스트 전직]
我願意完成考驗	I will go through the trial	시련을 수행하겠다고 한다
挽救聖物[聖火祭司轉職]	Save the Holy Offering [Krivis Advancement]	성물 구출[크리비 전직]
我願意尋找聖火祭司兄弟	I will find the Krivis brother	크리비 형제를 찾겠다고 한다
敲門中/KNOCK/1/TRACK_BEFORE/None	KnickingKNOCK/1/TRACK_BEFORE/None	노크 중/KNOCK/1/TRACK_BEFORE/None
劍士之路[劍士轉職]	Swordsman's Path [Swordsman Advancement]	소드맨의 길[소드맨 전직]
我願意收集石頭歐魯卡的心臟	I'll gather the heart of Stone Orca	스톤오르카의 심장을 모아오겠다고 한다
法師的正道[法師轉職]	Degree of Wizard [Wizard Advancement]	위저드의 정도[위저드 전직]
能力證明[弓箭手轉職]	Proving Abilities [Archer Advancement]	실력 증명[아처 전직]
我願意挑戰	I will take the challenge	도전해 보겠다고 한다
救贖的項鍊[牧師轉職]	Necklace of Salvation [Cleric Advancement]	구원의 목걸이[클레릭 전직]
我願意收集綠色膏藥	I will gather the green salve	녹색 고약을 모아 오겠다고 한다
運送聖物[聖火祭司轉職]	Holy Offering's Delivery [Krivis Advancement]	성물 배달[크리비 전직]
靈魂入門[邪靈祭司轉職]	Introduction of the Soul [Bokor Advancement]	영혼에의 입문 [보코르 전직]
我願意製作人偶	I'll make the doll	인형을 만들어 오겠다고 한다
初入正道[輕裝步兵轉職]	Going Down the Right Path [Peltasta Advancement]	정도 입문 [펠타스타 전직]
我願意執行入門任務	I will carry out the assignment	입문 과제를 수행하겠다고 한다
解決煩惱[高地戰士轉職]	Solve the Problem [Highlander Advancement]	근심해결 [하이랜더 전직]
我以後再來	I will come back later	나중에 다시 찾아오겠다고 한다
學術上的問題[烈焰法師轉職]	Academic Question [Pyromancer Advancement]	학구적 질문 [파이로맨서 전직]
我下次再來	I'll come back next time	다음에 다시 찾아오겠다고 한다
竊取歷史[寒冰法師轉職]	Historical Theft [Cryomancer Advancement]	사적 절취 [크리오맨서 전직]
Notice/空箱子	Notice/Empty Box	Notice/빈 상자
治療師之路[牧師轉職](1)	Path of the Healer [Cleric Advancement](1)	치유사의 길[클레릭 전직](1)
我願意去找百夫長大師	I'll go to the Centurion Master	센츄리온 마스터에게 가 보겠다고 한다
太遠了	It's too far away	너무 멀다고 한다
治療師之路[牧師轉職](2)	Path of the Healer [Cleric Advancement](2)	치유사의 길[클레릭 전직](2)
我願意採集尼扣堤亞	I'll collect Nocotias	니코티아를 채집하겠다고 한다
我要直接回去	I'll just go back	그냥 돌아가겠다고 한다
治療師之路[牧師轉職](3)	Path of the Healer [Cleric Advancement](3)	치유사의 길[클레릭 전직](3)
永恆的膜拜[聖火祭司轉職](1)	Eternal Worship [Krivis Advancement] (1)	영원한 경배[크리비 전직](1)
我願意前往參拜聖地	I'll go on a pilgrimage	성지순례를 떠나겠다고 한다
永恆的膜拜[聖火祭司轉職](2)	Eternal Worship [Krivis Advancement] (2)	영원한 경배[크리비 전직](2)
我願意消滅怪物	I will defeat the monsters	몬스터를 처치해 주겠다고 한다
永恆的膜拜[聖火祭司轉職](3)	Eternal Worship [Krivis Advancement] (3)	영원한 경배[크리비 전직](3)
我願意馬上前往佩迪米安	I'll leave for Fedimian	이제 페디미안으로 떠나겠다고 한다
我想再待一下	I will just stay a while	잠시만 머무르겠다고 한다
無盡的淨化[聖水祭司轉職]	Endless Purification [Priest Advancement]	끊임없는 정화[프리스트 전직]
我願意去淨化邪惡氣息	I will go and purify the evil energy	사악한 기운을 정화하러 가겠다고 한다
遺留下來的記憶[邪靈祭司轉職](1)	Still Needs Memory [Bokor Advancement] (1)	남겨진 기억[보코르 전직](1)
我願意取回寶石	I will get the gem	보석을 받아 오겠다고 한다
遺留下來的記憶[邪靈祭司轉職](2)	Still Needs Memory [Bokor Advancement] (2)	남겨진 기억[보코르 전직](2)
我要回去找邪靈祭司大師	I will go back to the Bokor Master	보코르 마스터에게 돌아가 보겠다고 한다
遺留下來的記憶[邪靈祭司轉職](3)	Still Needs Memory [Bokor Advancement] (3)	남겨진 기억[보코르 전직](3)
我去告訴聖火祭司大師	I will deliver it to the Krivis Master	크리비 마스터에게 전하겠다고 한다
遺留下來的記憶[邪靈祭司轉職](4)	Still Needs Memory [Bokor Advancement] (4)	남겨진 기억[보코르 전직](4)
我願意消滅毒魔蛙圖圖	I will defeat Tutu	투투를 처치하겠다고 한다
女神像保養[雕刻師轉職](1)	Statue Maintenance [Dievdirbys Advancement] (1)	여신상 관리[딥디르비 전직](1)
女神像保養[雕刻師轉職](2)	Statue Maintenance [Dievdirbys Advancement] (2)	여신상 관리[딥디르비 전직](2)
我會去找聖火祭司大師	I'll go to the Krivis Master	크리비 마스터에게 가 보겠다고 한다
女神像保養[雕刻師轉職](3)	Statue Maintenance [Dievdirbys Advancement] (3)	여신상 관리[딥디르비 전직](3)
我會去找聖水祭司大師	I'll go to the Priest Master	프리스트 마스터에게 가 보겠다고 한다
女神像保養[雕刻師轉職](4)	Statue Maintenance [Dievdirbys Advancement] (4)	여신상 관리[딥디르비 전직](4)
我會去找邪靈祭司大師	I'll go to the Bokor Master	보코르 마스터에게 가 보겠다고 한다
女神像保養[雕刻師轉職](5)	Statue Maintenance [Dievdirbys Advancement] (5)	여신상 관리[딥디르비 전직](5)
我願意去保養女神像	I will go and take care of the Goddess Statue	여신상을 관리하러 가겠다고 한다
請給我時間準備	Give me some time to prepare	준비 할 시간을 달라고 한다
被選擇的人[聖者轉職]	The Chosen One [Sadhu Advancement]	선택 받은 자[사두 전직]
為了教堂[聖殿十字軍轉職]	For the Church [Paladin Advancement]	성전을 위해[팔라딘 전직]
答應和大師對決	Accept the duel with the Master	마스터와의 대련에 응한다
鍛鍊身心[武僧轉職]	Training Body and Mind [Monk Advancement]	심신 단련[몽크 전직]
愛惜財物[寬恕者轉職](1)	Grace of Wealth [Pardoner Advancement] (1)	재물에도 은혜를[파드너 전직](1)
愛惜財物[寬恕者轉職](3)	Grace of Wealth [Pardoner Advancement] (2)	재물에도 은혜를[파드너 전직](3)
我願意去消滅魔斯怪	I will defeat Mothstem	모스템을 처치하러 가겠다고 한다
我放棄	I give up	포기하겠다고 한다
愛惜財物[寬恕者轉職](2)	Grace of Wealth [Pardoner Advancement] (3)	재물에도 은혜를[파드너 전직](2)
法師們的活動[法師轉職]	Activities of a Wizard [Wizard Advancement]	위저드들의 활동[위저드 전직]
我接受考驗	I will take the test	시험에 응하겠다고 한다
貫穿往前邁進的[鐵甲騎兵轉職]	Piercing Through [Cataphract Advancement]	꿰뚫고 나아가는[캐터프랙트 전직]
烈焰法師們的活動[烈焰法師轉職]	Activities of a Pyromancer [Pyromancer Advancement]	파이로맨서들의 활동[파이로맨서 전직]
我願意消滅波亞塔	I will defeat Poata	포아타를 처치하고 오겠다고 한다
寒冰法師們的活動[寒冰法師轉職]	Activities of a Cryomancer [Cryomancer Advancement]	크리오맨서들의 활동[크리오맨서 전직]
我願意消滅蘑菇卡利亞	I will get rid of the Mushcaria	머슈카리아를 처치하고 오겠다고 한다
念力法師們的活動[念力法師轉職]	Activities of a Psychokino [Psychokino Advancement]	사이코키노들의 활동[사이코키노 전직]
我接受考驗	I will take the test	시험을 받겠다고 한다
鎖鏈法師們的活動[鎖鏈法師轉職]	Activities of a Linker [Linker Advancement]	링커들의 활동[링커 전직]
我會消滅布貝鬥士	I will get rid of the Vubbe Fighter	부베 투사를 처치하고 오겠다고 한다
奇術師們的活動[奇術師轉職]	Activities of a Thaurmaturge [Thaumaturge Advancement]	쏘마터지들의 활동[쏘마터지 전직]
我會消滅火焰蜥蜴王	I will get rid of Salamander	샐러맨더를 처치하겠다고 한다
試驗很重要[元素使轉職]	An Important Test [Elementalist Advancement]	시험은 중요해[엘레멘탈리스트 전직]
我會消滅地心蟲王	I will defeat the Reaverpede	리버피드를 처치하겠다고 한다
收集惡靈[巫師轉職]	Collecting Evil Spirits [Sorcerer Advancement]	악령 수집[소서러 전직]
我會消滅惡魔葛洛夫	I will defeat the Devilglove	데블글로브를 처치하러 가겠다고 한다
召喚儀式[死靈法師轉職]	Summoning Ritual [Necromancer Advancement]	소환 의식[네크로맨서 전직]
實戰般的訓練[劍士轉職]	Practice with an Actual Fight [Swordsman Advancement]	훈련은 실전처럼[소드맨 전직]
我會消滅鬼眼蜘蛛	I will defeat the Honeypin	허니핀을 처치하러 가겠다고 한다
合理的代價[輕裝步兵轉職]	Proper Price [Peltasta Advancement]	합당한 대가[펠타스타 전직]
經驗就是資產[高地戰士轉職]	Experience is an Asset [Highlander Advancement]	경험이 곧 자산[하이랜더 전직]
詢問累積好經驗的方法。	How do you gain good experiences?	좋은 경험을 쌓는 방법에 대해 묻는다
不同意	I disagree	동의하지 않는다
可靠的[重裝步兵轉職]	The Reliable [Hoplite Advancement]	의지할 수 있는[하플라이트 전직]
解決問題[野蠻人轉職]	Problem Solving [Barbarian Advancement]	문제를 해결[바바리안 전직]
詢問我要付出什麼代價。	What do I pay it with?	어떤 것으로 대가를 치뤄야 하는 지 묻는다
指揮官的資格[圓盾劍士轉職]	Qualifications of a Commander [Rodelero Advancement]	지휘관의 자격[로델레로 전직]
構成威脅的存在[鐵甲騎兵轉職]	A Threat [Cataphract Advancement]	위협이 되는 존재[캐터프랙트 전직]
我會消滅魔龍凱拉斯	I will defeat the Gaigalas	가이갈라스를 처치한다고 한다
我好像辦不到	I don't think I can do such things	그런 건 못할 것 같다고 한다
勒肯家門的榮譽[侍從轉職]	Honor of the Legwyn Family [Squire Advancement]	르귄가문의 명예[스콰이어 전직]
我會幫忙尋找裝飾	I'll help you find the decorations	장식을 찾는 것을 돕겠다고 한다
陸地作戰訓練[海賊轉職]	Ground Combat Training [Corsair Advancement]	육지전투 훈련[커세어 전직]
風險帶來的代價[雙酬傭兵轉職]	Price of Danger [Doppelsoeldner Advancement]	위험에 따르는 대가[도펠죌트너 전직]
時空法師的行動[時空法師轉職]	Activities of a Chronomancer [Chronomancer Advancement]	크로노맨서의 활동[크로노맨서 전직]
完成法師的任務[法師轉職]	Complete the Mission of a Wizard [Wizard Advancement]	위저드의 임무 완수[위저드 전직]
我會消滅鋼鐵巴溫	I'll defeat Ironbaum	아이언바움을 해치우고 오겠다고 한다
我以後再來	I'll come back later	나중에 다시 찾아온다고 한다
完成烈焰法師的任務[烈焰法師轉職]	Complete the Pyromancer's Mission [Pyromancer Advancement]	파이로맨서의 임무 완수[파이로맨서 전직]
完成寒冰法師的任務[寒冰法師轉職]	Complete the Cryomancer's Mission [Cryomancer Advancement]	크리오맨서의 임무 완수[크리오맨서 전직]
完成念力法師的任務[念力法師轉職]	Complete the Psychokino 's Mission [Psychokino Advancement]	사이코키노의 임무 완수[사이코키노 전직]
我會替你進行委託	I'll complete the mission for you	의뢰를 대신 해주겠다고 한다
完成鎖鏈法師的任務[鎖鏈法師轉職]	Complete the Mission of a Linker [Linker Advancement]	링커의 임무 완수[링커 전직]
我會消滅狼人	I will defeat the Werewolf	웨어울프를 해치우고 오겠다고 한다
完成奇術師的任務[奇術師轉職]	Complete the Mission of a Thaumaturge [Thaumaturge Advancement]	쏘마터지의 임무 완수[쏘마터지 전직]
元素使的任務完成[元素使轉職]	Complete the mission of an Elementalist [Elementalist Advancement]	엘레멘탈리스트의 임무 완수[엘레멘탈리스트 전직]
我當然願意出面	Of course I'll do it	당연히 나서겠다고 한다
完成巫師的任務[巫師轉職]	Complete the Mission of a Sorcerer [Sorcerer Advancement]	소서러의 임무 완수[소서러 전직]
我會消滅地獄亡靈	I will defeat the Necroventor	네크로벤터를 처치하겠다고 한다
完成時空法師的任務[時空法師轉職]	Complete the Mission of a Chronomancer [Chronomancer Advancement]	크로노맨서의 임무 완수[크로노맨서 전직]
我會透過考驗證明	I'll prove myself through a test	시험으로서 증명하겠다고 한다
完成鍊金術士的任務[鍊金術士轉職]	Complete the Mission of an Alchemist [Alchemist Advancement]	알케미스트의 임무 완수[알케미스트 전직]
星星的鏡片[弩箭手轉職]	Lens of the Stars [Quarrel Shooter Advancement]	별의 렌즈 [쿼렐슈터 전직]
我接受委託	I'll do you this favor	부탁을 들어주겠다고 한다
背叛者的毒[遊俠轉職]	Poison Betrayal [Ranger Advancement]	배신자의 독 [레인저 전직]
我接受委託	I will accept the commission	의뢰를 받아들이겠다고 한다
與野蠻人大師對話	Talk to the Barbarian Master	바바리안 마스터와 대화
野蠻人的肯定	Recognition of the Barbarian Master	바바리안의 인정
與重裝步兵大師對話	Talk to the Hoplite Master	하플라이트 마스터와 대화
與念力法師大師對話	Talk to the Psychokino Master	사이코키노 마스터와 대화
轉交給念力法師大師	Give it to the Psychokino Master	사이코키노 마스터에게 전달
與鎖鏈法師大師對話	Talk to the Linker Master	링커 마스터와 대화
把材料交給鎖鏈法師大師	Give the materials to the Linker Master	링커 마스터에게 재료 전달
刺球怪之核	Nucleuses of Dunball	던볼의 핵
貝里克洛的碎片	Fragments of Belligler	벨리글러의 조각
把書交給鎖鏈法師大師	Give the book to the Linker Master	링커 마스터에게 책 전달
與工兵大師對話	Talk to the Sapper Master	새퍼 마스터와 대화
尋找工兵大師藏起來的物品	Find the Sapper Master's Hidden Goods	새퍼 마스터가 숨겨둔 물품 찾기
尋找遭竊的物品	Find the Stolen Goods	훔친 물건 찾기
籌備要交給牧師大師的捐款	Gather donations to give to the Cleric Master	클레릭 마스터에게 전달할 성금 마련
把捐款交給柯拉佩達的牧師大師	Give donations to the Cleric Master in Klaipeda	클라페다의 클레릭 마스터에게 성금 전달
與獵人大師對話	Talk to the Hunter Master	헌터 마스터와 대화
請去找夏奧雷伊東邊森林的獵人大師。	Find the Hunter Master in East Siauliai Woods	샤울레이 동쪽 숲에 있는 헌터 마스터를 찾아가세요.
將梅羅葛的皮革交給弩箭手大師	Hand over the Merrogg Leather to the Quarrel Shooter Master	쿼렐슈터 마스터에게 메로그 가죽 전달
在礦山村莊的水晶礦山入口收集岩石	Collect rocks from the Crystal Mine entrance in Miners' Village	광산 마을의 수정광산 입구에서 바위 수집
把岩石交給柯拉佩達的弓箭手大師	Give the rocks to the Archer Master in Klaipeda	클라페다의 아처 마스터에게 바위 전달
把袋子交給遊俠大師	Give the pouch to the Ranger Master	레인저 마스터에게 주머니 전달
與弩箭手大師對話	Talk to the Quarrel Shooter Master	쿼렐슈터 마스터와 대화
請去找柯拉佩達的弩箭手大師。	Find the Quarrel Shooter Master in Klaipeda	클라페다에 있는 쿼렐슈터 마스터를 찾아가세요.
勘查弩箭手大師所說的區域	Search the area the Quarrel Shooter Master mentioned	쿼렐슈터 마스터가 알려준 지역 탐색
把書交給弩箭手大師	Give book to the Quarrel Shooter Master	쿼렐슈터 마스터에게 책 전달
籌備獵人大師要求的銀幣	Prepare the silver the Hunter Master asked for	헌터 마스터가 요구한 실버 마련
把銀幣交給獵人大師	Give silver to the Hunter Master	헌터 마스터에게 실버 전달
在礦山村莊收集岩石	Collect rocks at Miners' Village	광산 마을에서 바위 수집
把岩石交給弓箭手大師	Give the rock to the Alchemist Master	아처 마스터에게 바위 전달
與弓箭手大師對話	Talk to the Archer Master	아처 마스터와 대화
請去找柯拉佩達的弓箭手大師。	Go to the Archer Master in Klaipeda	클라페다에 있는 아처 마스터를 찾아가세요.
勘查弓箭手大師所說的區域	Explore the area the Archer Master mentioned	아처 마스터가 알려준 지역 탐색
把書交給弓箭手大師	Deliver book to Master Archer	아처 마스터에게 책 전달
收集梅羅葛的皮革	Collect the Merrogg Leather	메로그의 가죽 수집
與遊俠大師對話	Talk to the Ranger Master	레인저 마스터와 대화
請去找柯拉佩達的遊俠大師。	Go to the Ranger Master in Klaipeda	클라페다에 있는 레인저 마스터를 찾아가세요.
消滅布貝鬥士並獲得書籍	Defeat Vubbe Fighter and get the book	부베 투사를 처치하여 책 획득
把書交給遊俠大師	Give book to the Ranger Master	레인저 마스터에게 책 전달
向布貝鬥士取得利迪亞夏班的書	Get Lydia Schaffen's book from Vubbe Fighter	부베 투사에게서 리디야 샤펜의 책 획득
在遊俠大師所說的區域中收集岩石	Collect rocks from the area the Ranger Master mentioned	레인저 마스터가 알려주는 지역에서 바위 수집
與雕刻家泰斯拉對話	Talk to Sculptor Tesla	조각가 테슬라와 대화
消滅耶庫並獲得藍色水晶	Defeat Yekub and get the Blue Crystal	예쿱을 처치하고 푸른 수정 획득
把藍色水晶交給雕刻家泰斯拉	Give Blue Crystal to Sculptor Tesla	조각가 테슬라에게 푸른 수정 전달
耶庫的藍水晶	Blue Crystal of Yekub	예쿱의 파란수정
與高地戰士大師對話	Talk to the Highlander Master	하이랜더 마스터와 대화
請去找柯拉佩達的高地戰士大師。	Find the Highlander Master in Klaipeda	클라페다에 있는 하이랜더 마스터를 찾아가세요.
將木頭圓盾用板子交給輕裝步兵大師	Hand over the Wooden Buckler's board to the Peltasta Master	펠타스타 마스터에게 우든 버클러용 판자 전달
將5個木頭圓盾用板子交給位在柯拉佩達的輕裝步兵大師並要求輕裝步兵大師的協助。	Get help from the Peltasta Master by handing him over Wooden Buckler's 5 boards	클라페다에 있는 펠타스타 마스터에게 우든 버클러용 판자 5개를 전달하여 펠타스타 마스터의 협조를 구해 오세요.
藍樹高原	Indigo Trees Plateau	쪽빛나무 고원
向高地戰士大師報告	Report to the Highlander Master	하이랜더 마스터에게 보고
與輕裝步兵大師對話	Talk to the Peltasta Master	펠타스타 마스터와 대화
請去找柯拉佩達的輕裝步兵大師。	Go to the Peltasta Master in Klaipeda	클라페다의 펠타스타 마스터를 찾아 가 보세요.
搜索消失在荊棘林的偵察部隊	Search for the Reconnaisance Squad that disappeared into the Thorny Forest	가시숲에서 사라진 정찰부대 탐색
收拾遺物	Collect the keepsakes	유품 수습
到荊棘心山溝其他地區探索	Search for the other regions in Spineheart Dale	가시마음골의 다른 지역 탐색
將遺物交給騎士團長烏斯卡	Hand over the keepsakes to Uska	기사단장 우스카에게 유품 전달
死去偵察兵的復仇	The revenge of the dead scout	죽은 정찰병의 복수
與烈焰法師大師對話	Talk to the Pyromancer Master	파이로맨서 마스터와 대화
把火之精髓收集在甕中	Gather the Essence of Fire in the pot	불의 정수를 항아리에 모으기
向烈焰法師大師報告	Report to the Pyromancer Master	파이로맨서 마스터에게 보고
與寒冰法師大師對話	Talk to the Cryomancer Master	크리오맨서 마스터와 대화
向礦山村莊村長詢問書的下落	Ask the Miners' Village Mayor about the whereabouts of the book	광산 마을 촌장에게 책의 행방 묻기
在布貝前哨基地中找書	Search for the book at the Vubbe Outpost	부베 전초기지에서 책 탐색
把書交給寒冰法師大師	Give the book to the Cryomancer Master	크리오맨서 마스터에게 책 전달
與聖火祭司大師對話	Talk to the Krivis Master	크리비 마스터와 대화
請尋找柯拉佩達的聖火祭司大師。	Go to the Krivis Master in Klaipeda	클라페다에 있는 크리비 마스터를 찾아가세요.
向女神像奉獻祈禱	Offer prayers to Goddess Statue	여신상에 봉헌기도를 올리기
與劍士大師對話	Talk to the Swordsman Master	소드맨 마스터와 대화
消滅七彩高原坪的曼陀羅之樹	Defeat Mentiwood at Seventune Mesa	칠채고원평의 멘티우드 처치
向劍士大師報告	Report to the Swordsman Master	소드맨 마스터에게 보고
消滅曼陀羅之樹	Defeat Mentiwood	멘티우드 처지
與聖水祭司大師對話	Talk to the Priest Master	프리스트 마스터와 대화
請去找柯拉佩達的聖水祭司大師。	Find the Priest Master in Klaipeda	클라페다에 있는 프리스트 마스터를 찾아가세요.
消滅附在士兵身上的惡靈	Exorcise the evil spirit from the soldier and defeat it	병사에게 빙의한 악령 처치
向聖水祭司大師報告	Report to the Priest Master	프리스트 마스터에게 보고
消滅惡靈本體	Defeat the embodiment of the evil spirit	악령의 본체 처치
與法師大師對話	Talk to the Wizard Master	위저드 마스터와 대화
請去找柯拉佩達的法師大師。	Go to the Wizard Master in Klaipeda	클라페다에 있는 위저드 마스터에게 찾아가 보세요.
收集法師大師所需的材料	Collect the materials for the Wizard Master	위저드 마스터가 필요로하는 재료 수집
把材料交給法師大師	Give the materials to the Wizard Master	위저드 마스터에게 재료 전달
在都市各地使用法師大師的資料累積用卷軸	Use the Scroll for data around town	위저드 마스터의 자료 축적용 스크롤을 도시 곳곳에 사용
向法師大師報告	Report to the Wizard Master	위저드 마스터에게 보고
與牧師大師對話	Talk to the Cleric Master	클레릭 마스터와 대화
向聖水祭司大師取得聖水	Receive Holy Water from the Priest Master	프리스트 마스터에게 성수 받기
向聖火祭司大師取得聖水	Get Holy Water from the Krivis Master	크리비 마스터에게 성수 받기
治療夏奧雷伊礦山村莊的患者	Treat the patients at the Miners' Village	샤울레이 광산 마을의 환자 치료
向牧師大師報告	Report to the Cleric Master	클레릭 마스터에게 보고
請去找柯拉佩達的重裝步兵大師。	Go to the Hoplite Master in Klaipeda	클라페다에 있는 하플라이트 마스터를 찾아 가세요.
把長槍系列裝備強化至6等級	Upgrade Spear type weapon to level 6	창 계열 장비를 6단계로 강화하기
向重裝步兵大師報告結果	Report to the Hoplite Master	하플라이트 마스터에게 결과 보고
收集女神的古院的精髓	Collect Demons' Essences in Goddess' Ancient Garden	여신의 옛뜰에서 마족의 정수 수집
轉交精髓給念力法師大師	Give the Demons' Essences to Psychokino Master	사이코키노 마스터에게 정수 전달
請去找柯拉佩達的弩箭手。	Go to the Quarrel Shooter Master in Klaipeda	클라페다에 있는 쿼렐슈터를 찾아가 보세요.
於魔法師之塔 3層中尋找地圖	Look for the map in Mage Tower 3F	마법사의 탑 3층에서 지도 찾기
把地圖交給弩箭手大師	Give map to the Quarrel Shooter Master	쿼렐슈터 마스터에게 지도 전달
請去找柯拉佩達的弓箭手大師對話。	Go to the Archer Master in Klaipeda	클라페다에 있는 아처 마스터를 찾아 대화해 보세요.
與圓盾劍士大師對話	Talk to the Rodelero Master	로델레로 마스터와 대화
消滅魔法師之塔3層的巨大怪物	Defeat the giant monster in Mage Tower 3F	마법사의 탑 3층의 거대한 몬스터 처치
向圓盾劍士大師報告	Report to the Rodelero Master	로델레로 마스터에게 보고
向弓箭手大師報告	Report to the Archer Master	아처 마스터에게 보고
請去找柯拉佩達的遊俠大師。	Go to the Ranger Master in Klaipeda	클라페다에 있는 레인저 마스터를 찾아가 보세요.
去見侍從大師	Meet the Squire Master	스콰이어 마스터를 찾아가기
與元素使大師對話	Talk to the Elementalist Master	엘레멘탈리스트 마스터와 대화
於魔法師之塔3層尋找艾保尼風的痕跡	Look for Evoniphon in Mage Tower 3F	마법사의 탑 3층 에보니폰 흔적 찾기
向遊俠大師報告	Report to the Ranger Master	레인저 마스터에게 보고
消滅米諾牛頭怪並尋找艾保尼風的殘跡	Defeat Minotaur and find traces of Evoniphon	미노타우로스를 처치하고 에보니폰의 흔적 찾기
收集德雷克的火焰觸媒	Collect Drakes' flame catalysts	드레이크의 화염 촉매 수집
將火焰觸媒轉交給工兵 大師	Hand over the flame catalysts to the Sapper Master	새퍼 마스터에게 화염 촉매 전달
消滅德雷克	Defeat Drakes	드레이크 처치
測試試驗用炸彈	Test the bomb	시험용 폭탄 테스트
向工兵大師報告	Report to the Sapper Master	새퍼 마스터에게 보고
與邪靈祭司大師對話	Talk to the Bokor Master	보코르 마스터와 대화
請去找柯拉佩達的邪靈祭司大師。	Go to the Bokor Master in Klaipeda	클라페다에 있는 보코르 마스터를 찾아가세요.
收集任務或是野外BOSS怪物卡片	Collect Mission or Field Boss Monster Card	미션이나 필드 보스 몬스터 카드 수집
任務地區/水晶礦山野外NOSS/泰內聖堂野外BOSS/王陵野外BOSS(任務BOSS怪物除外)	Mission Zone/Crystal Mine Field Boss/Tenet Church Field Boss/Royal Mausoleum Field Boss (Except quest boss monsters)	미션 존/수정광산 필드 보스/테넷 성당 필드 보스/왕릉 필드 보스(퀘스트 보스 몬스터 제외)
把卡片交給邪靈祭司大師	Give a card to the Bokor Master	보코르 마스터에게 카드 전달
與柯拉佩達道具商人對話	Talk to the Item Merchant in Klaipeda	클라페다 도구상인과 대화
到魔法師之塔 3層尋找道具商人的父親	Look for the father of the Equipment Merchant in Mage Tower 3F	마법사의 탑 3층에서 도구상인의 아버지 찾기
將父親的衣服碎片轉交給道具商人	Give the piece of father's clothing to the Item Merchant	도구상인에게 아버지의 옷 조각 전달
消滅米諾牛頭怪	Defeat Minotaur	미노타우로스 처치
用柯拉佩達廣場的貓飼料引誘	Lure the Klaipeda Plaza cat with food	클라페다 광장의 고양이 먹이로 유인하기
把貓交給雕刻家泰斯拉	Give the cat to Sculptor Tesla	조각가 테슬라에게 고양이 전달
請去拜訪位於柯拉佩達的烈焰法師。	Meet the Pyromancer Master in Klaipeda	클라페다에 있는 파이로맨서를 찾아 가세요.
消滅干擾的死靈查普利	Defeat Chapparition	방해하는 채퍼리션 처치
將太陽之甕放置在魔法師之塔1層的閱覽室裡	Put the Pot of the Sun in the Reading Room in Mage Tower 1F	마법사의 탑 1층 열람실에 태양의 항아리 놓기
收集寒冰法師大師所需的材料	Collect materials requested by the Cryomancer Master	크리오맨서 마스터가 필요로 하는 재료 수집
把材料交給寒冰法師大師	Deliver the materials to the Cryomancer Master	크리오맨서 마스터에게 재료 전달
在佩迪米安各處使用法師大師的資料累積用卷軸	Use Wizard's Data Measurement Scroll around Fedimian	위저드 마스터의 자료 축적용 스크롤을 페디미안 곳곳에 사용
使用回復為人們治療	Use Heal to treat people	힐을 사용해 사람들을 치료
全區域	All area	전 지역
與巫師大師對話	Talk to the Sorcerer Master	소서러 마스터와 대화
請去找佩迪米安的巫師大師。	Go to the Sorcerer Master in Fedimian	페디미안의 소서러 마스터에게 찾아가세요.
在魔法對決中戰勝巫師大師	Win a magic duel against the Sorcerer Master	소서러 마스터와 마법 대련에서 승리
巫師的認同	Acknowledgment of the Sorcerer	소서러의 인정
與死靈法師大師對話	Talk to the Necromancer Master	네크로맨서 마스터와 대화
到佩迪米安和死靈法師大師對話。	Talk to the Necromancer Master in Fedimian	페디미안에 있는 네크로맨서 마스터와 대화하세요.
與死靈法師大師戰鬥	Battle against the Necromancer Master	네크로맨서 마스터와 전투
死靈法師的認同	Acknowledgment of Necromancer	네크로맨서의 인정
與德魯伊大師對話	Talk to the Druid Master	드루이드 마스터와 대화
請去找佩迪米安的德魯伊大師。	Find the Druid Master in Fedimian	페디미안에 있는 드루이드 마스터를 찾아가세요.
和德魯伊大師對決	Duel against the Druid Master	드루이드 마스터와 대련
德魯伊的認同	Acknowledgment of Druid	드루이드의 인정
請和夏奧雷伊礦山村莊的鎖鏈法師大師對話。	Talk to the Linker Master in Crystal Mine of Siauliai	샤울레이 광산 마을에 있는 링커 마스터와 대화해 보세요.
和鎖鏈法師大師對決	Duel with the Linker Master	링커 마스터와 대련
鎖鏈法師的認同	Acknowledgment of Linker	링커의 인정
藉由和獵人大師對決評估能力	Evaluate the competence of yourself by dueling with the Hunter Master	헌터 마스터와 대련을 통해 실력 평가
獵人的認同	Acknowledgment of Hunter	헌터의 인정
